NaYS2	NaYS2	NaYS2	D	E	F	G	H	I	J
704.00	0.85431	5.8989e+05							
705.00	0.84346	5.8240e+05							
706.00	0.83183	5.7437e+05							
707.00	0.82540	5.6993e+05							
708.00	0.81299	5.6136e+05							
709.00	0.80827	5.5810e+05							
710.00	0.79010	5.4556e+05							
711.00	0.78720	5.4355e+05							
712.00	0.76811	5.3037e+05							
713.00	0.75890	5.2401e+05							
714.00	0.75555	5.2170e+05							
715.00	0.74078	5.1150e+05							
716.00	0.73219	5.0557e+05							
717.00	0.72372	4.9972e+05							
718.00	0.70754	4.8855e+05							
719.00	0.69987	4.8325e+05							
720.00	0.68744	4.7467e+05							
721.00	0.67720	4.6759e+05							
722.00	0.66917	4.6206e+05							
723.00	0.65534	4.5250e+05							
724.00	0.64289	4.4391e+05							
725.00	0.63134	4.3594e+05							
726.00	0.61836	4.2697e+05							
727.00	0.61424	4.2412e+05							
728.00	0.59667	4.1199e+05							
729.00	0.58433	4.0347e+05							
730.00	0.56898	3.9288e+05							
731.00	0.56062	3.8710e+05							
732.00	0.55499	3.8322e+05							
733.00	0.54315	3.7504e+05							
734.00	0.53295	3.6800e+05							
735.00	0.51867	3.5814e+05							
736.00	0.50314	3.4741e+05							
737.00	0.49580	3.4234e+05							
738.00	0.49193	3.3967e+05							
739.00	0.48731	3.3648e+05							
740.00	0.46909	3.2390e+05							
741.00	0.46727	3.2264e+05							
742.00	0.45601	3.1487e+05							
743.00	0.44991	3.1066e+05							
744.00	0.43812	3.0251e+05							
745.00	0.43821	3.0257e+05							
746.00	0.42653	2.9452e+05							
747.00	0.42134	2.9093e+05							
748.00	0.41270	2.8496e+05							
749.00	0.40896	2.8238e+05							
750.00	0.39706	2.7417e+05							
751.00	0.39299	2.7135e+05							
752.00	0.38145	2.6339e+05							
753.00	0.37769	2.6079e+05							
754.00	0.37188	2.5678e+05							
755.00	0.36909	2.5485e+05							
756.00	0.35502	2.4514e+05							
757.00	0.34646	2.3922e+05							
758.00	0.34662	2.3934e+05							
759.00	0.34369	2.3732e+05							
760.00	0.34117	2.3557e+05							
761.00	0.32570	2.2489e+05							
762.00	0.32088	2.2157e+05							
763.00	0.31427	2.1700e+05							
764.00	0.31468	2.1728e+05							
765.00	0.30961	2.1378e+05							
766.00	0.30599	2.1128e+05							
767.00	0.30334	2.0945e+05							
768.00	0.29251	2.0197e+05							
769.00	0.28473	1.9660e+05							
770.00	0.27950	1.9299e+05							
771.00	0.28228	1.9491e+05							
772.00	0.27690	1.9119e+05							
773.00	0.27128	1.8732e+05							
774.00	0.26493	1.8294e+05							
775.00	0.25599	1.7676e+05							
776.00	0.25158	1.7371e+05							
777.00	0.25122	1.7347e+05							
778.00	0.24096	1.6638e+05							
779.00	0.24291	1.6772e+05							
780.00	0.22834	1.5767e+05							
781.00	0.22446	1.5499e+05							
782.00	0.21961	1.5164e+05							
783.00	0.21648	1.4948e+05							
784.00	0.20964	1.4475e+05							
785.00	0.20710	1.4300e+05							
786.00	0.20854	1.4400e+05							
787.00	0.20782	1.4350e+05							
788.00	0.20466	1.4132e+05							
789.00	0.19726	1.3620e+05							
790.00	0.19095	1.3185e+05							
791.00	0.18972	1.3100e+05							
792.00	0.18628	1.2862e+05							
793.00	0.17518	1.2096e+05							
794.00	0.16570	1.1442e+05							
795.00	-0.00048109	-332.18							
796.00	0.0019802	1367.3							
797.00	-0.0012491	-862.51							
798.00	-0.00020754	-143.30							
799.00	0.00048121	332.27							
800.00	0.0010345	714.29							
